"source_file","export_month","trade_date","hour_index","hour_window","raw_value","raw_unit_label","contains_credentials"
"1、交易计算表2月.xls","2026-02","2026-02-17","8","07:00-08:00","71268","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","9","08:00-09:00","76616","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","10","09:00-10:00","86143","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","11","10:00-11:00","81985","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","12","11:00-12:00","72274","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","13","12:00-13:00","91923","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","14","13:00-14:00","83005","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","15","14:00-15:00","73653","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","16","15:00-16:00","83956","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","17","16:00-17:00","78954","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","18","17:00-18:00","86318","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","19","18:00-19:00","72762","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","20","19:00-20:00","91960","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","21","20:00-21:00","82843","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","22","21:00-22:00","70186","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-17","23","22:00-23:00","74527","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
